id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_cagar_budaya,jumlah_cagar_budaya,satuan,tahun
882,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BANGUNAN CAGAR BUDAYA,13,UNIT,2024
883,32,JAWA BARAT,3215,KABUPATEN KARAWANG,STRUKTUR CAGAR BUDAYA,5,UNIT,2024
884,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SITUS CAGAR BUDAYA,40,UNIT,2024
885,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KAWASAN CAGAR BUDAYA,1,UNIT,2024
886,32,JAWA BARAT,3216,KABUPATEN BEKASI,BENDA CAGAR BUDAYA,1,UNIT,2024
887,32,JAWA BARAT,3216,KABUPATEN BEKASI,BANGUNAN CAGAR BUDAYA,24,UNIT,2024
888,32,JAWA BARAT,3216,KABUPATEN BEKASI,STRUKTUR CAGAR BUDAYA,8,UNIT,2024
889,32,JAWA BARAT,3216,KABUPATEN BEKASI,SITUS CAGAR BUDAYA,1,UNIT,2024
890,32,JAWA BARAT,3216,KABUPATEN BEKASI,KAWASAN CAGAR BUDAYA,0,UNIT,2024
891,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BENDA CAGAR BUDAYA,0,UNIT,2024
892,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BANGUNAN CAGAR BUDAYA,3,UNIT,2024
893,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,STRUKTUR CAGAR BUDAYA,0,UNIT,2024
894,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SITUS CAGAR BUDAYA,1,UNIT,2024
895,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KAWASAN CAGAR BUDAYA,0,UNIT,2024
896,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BENDA CAGAR BUDAYA,6,UNIT,2024
897,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BANGUNAN CAGAR BUDAYA,5,UNIT,2024
898,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,STRUKTUR CAGAR BUDAYA,147,UNIT,2024
899,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SITUS CAGAR BUDAYA,9,UNIT,2024
900,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KAWASAN CAGAR BUDAYA,0,UNIT,2024
901,32,JAWA BARAT,3271,KOTA BOGOR,BENDA CAGAR BUDAYA,0,UNIT,2024
902,32,JAWA BARAT,3271,KOTA BOGOR,BANGUNAN CAGAR BUDAYA,443,UNIT,2024
903,32,JAWA BARAT,3271,KOTA BOGOR,STRUKTUR CAGAR BUDAYA,10,UNIT,2024
904,32,JAWA BARAT,3271,KOTA BOGOR,SITUS CAGAR BUDAYA,28,UNIT,2024
905,32,JAWA BARAT,3271,KOTA BOGOR,KAWASAN CAGAR BUDAYA,1,UNIT,2024
906,32,JAWA BARAT,3272,KOTA SUKABUMI,BENDA CAGAR BUDAYA,41,UNIT,2024
907,32,JAWA BARAT,3272,KOTA SUKABUMI,BANGUNAN CAGAR BUDAYA,19,UNIT,2024
908,32,JAWA BARAT,3272,KOTA SUKABUMI,STRUKTUR CAGAR BUDAYA,0,UNIT,2024
909,32,JAWA BARAT,3272,KOTA SUKABUMI,SITUS CAGAR BUDAYA,19,UNIT,2024
910,32,JAWA BARAT,3272,KOTA SUKABUMI,KAWASAN CAGAR BUDAYA,1,UNIT,2024
911,32,JAWA BARAT,3273,KOTA BANDUNG,BENDA CAGAR BUDAYA,0,UNIT,2024
912,32,JAWA BARAT,3273,KOTA BANDUNG,BANGUNAN CAGAR BUDAYA,1770,UNIT,2024
913,32,JAWA BARAT,3273,KOTA BANDUNG,STRUKTUR CAGAR BUDAYA,26,UNIT,2024
914,32,JAWA BARAT,3273,KOTA BANDUNG,SITUS CAGAR BUDAYA,70,UNIT,2024
915,32,JAWA BARAT,3273,KOTA BANDUNG,KAWASAN CAGAR BUDAYA,24,UNIT,2024
916,32,JAWA BARAT,3274,KOTA CIREBON,BENDA CAGAR BUDAYA,1,UNIT,2024
917,32,JAWA BARAT,3274,KOTA CIREBON,BANGUNAN CAGAR BUDAYA,48,UNIT,2024
918,32,JAWA BARAT,3274,KOTA CIREBON,STRUKTUR CAGAR BUDAYA,3,UNIT,2024
919,32,JAWA BARAT,3274,KOTA CIREBON,SITUS CAGAR BUDAYA,7,UNIT,2024
920,32,JAWA BARAT,3274,KOTA CIREBON,KAWASAN CAGAR BUDAYA,6,UNIT,2024
921,32,JAWA BARAT,3275,KOTA BEKASI,BENDA CAGAR BUDAYA,3,UNIT,2024
922,32,JAWA BARAT,3275,KOTA BEKASI,BANGUNAN CAGAR BUDAYA,45,UNIT,2024
923,32,JAWA BARAT,3275,KOTA BEKASI,STRUKTUR CAGAR BUDAYA,1,UNIT,2024
924,32,JAWA BARAT,3275,KOTA BEKASI,SITUS CAGAR BUDAYA,20,UNIT,2024
925,32,JAWA BARAT,3275,KOTA BEKASI,KAWASAN CAGAR BUDAYA,0,UNIT,2024
926,32,JAWA BARAT,3276,KOTA DEPOK,BENDA CAGAR BUDAYA,1,UNIT,2024
927,32,JAWA BARAT,3276,KOTA DEPOK,BANGUNAN CAGAR BUDAYA,15,UNIT,2024
928,32,JAWA BARAT,3276,KOTA DEPOK,STRUKTUR CAGAR BUDAYA,0,UNIT,2024
929,32,JAWA BARAT,3276,KOTA DEPOK,SITUS CAGAR BUDAYA,8,UNIT,2024
930,32,JAWA BARAT,3276,KOTA DEPOK,KAWASAN CAGAR BUDAYA,1,UNIT,2024
931,32,JAWA BARAT,3277,KOTA CIMAHI,BENDA CAGAR BUDAYA,7,UNIT,2024
932,32,JAWA BARAT,3277,KOTA CIMAHI,BANGUNAN CAGAR BUDAYA,43,UNIT,2024
933,32,JAWA BARAT,3277,KOTA CIMAHI,STRUKTUR CAGAR BUDAYA,0,UNIT,2024
934,32,JAWA BARAT,3277,KOTA CIMAHI,SITUS CAGAR BUDAYA,9,UNIT,2024
935,32,JAWA BARAT,3277,KOTA CIMAHI,KAWASAN CAGAR BUDAYA,0,UNIT,2024
936,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BENDA CAGAR BUDAYA,65,UNIT,2024
937,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BANGUNAN CAGAR BUDAYA,30,UNIT,2024
938,32,JAWA BARAT,3278,KOTA TASIKMALAYA,STRUKTUR CAGAR BUDAYA,12,UNIT,2024
939,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SITUS CAGAR BUDAYA,6,UNIT,2024
940,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KAWASAN CAGAR BUDAYA,7,UNIT,2024
941,32,JAWA BARAT,3279,KOTA BANJAR,BENDA CAGAR BUDAYA,0,UNIT,2024
942,32,JAWA BARAT,3279,KOTA BANJAR,BANGUNAN CAGAR BUDAYA,1,UNIT,2024
943,32,JAWA BARAT,3279,KOTA BANJAR,STRUKTUR CAGAR BUDAYA,2,UNIT,2024
944,32,JAWA BARAT,3279,KOTA BANJAR,SITUS CAGAR BUDAYA,31,UNIT,2024
945,32,JAWA BARAT,3279,KOTA BANJAR,KAWASAN CAGAR BUDAYA,0,UNIT,2024
